Drug Name,Condition,Rating,Content
Vancomycin,Surgical Prophylaxis,10,"""I was given an IV dose of Vancomycin (due to allergies of other preferred choices), before my total knee replacement in June 2017. I had no reaction to Vancomycin, with no issues with TKR/recovery. My surgery (including all medicine while in hospital) was covered 100%, due to my work insurance using a Center of Excellence program."""
Montelukast,"Asthma, Maintenance",10,"Singulair (montelukast)""I have used this drug for over 15 years. I have asthma triggered by inhalants and the original version has totally controlled my symptoms. I used the generic when it came out because of cost. I started having mild asthma symptoms within a few days. When my local Target switched to another generic I developed hypersensitivity pneumonitis which was diagnosed after over $20,000 in lab work and a bronchoscopy. Back on original singulair..and no problem again. It really controls my asthma and allergic reactions."""
Diovan,High Blood Pressure,10,"""I took Lisinopril for about a year and a half. I coughed so bad all the time I could not stand it any longer. Stopped up head and hard to breathe. 

My doctor changed me to Diovan 160mg and I have been on it for 2 months now and my head has cleared and my cough is completely gone. My blood pressure has been in the. 110's over 60's. So far I am very happy with Diovan!!!"""
Symbicort,"Asthma, Maintenance",3,"""Given Symbicort inhaler after Urgent care sent me to hospital for severe asthma. Symbicort took forever (2 1/2 weeks) to help, and then, only slightly. 
Back started aching 3rd day I was on it. Just figured, at first, it was from trying to sleep in hospital bed. Head ached, too, though. Joints started aching soon after. Two weeks later, Symbicort seemed to help enough to maybe use the ProAir, or nebulizer, a couple times less during the day. But, still needing it, at times.
Back/joints/ headache continued after all other meds from hospital discharge finished. Plus, short of breath a lot, with achiness in upper chest a week or so ago. Stopped Symbicort Sunday night. Now Wednesday, and already feeling better."""
Junel,Birth Control,7,"Junel Fe 24 (ethinyl estradiol / norethindrone)""I took Junel Fe 24 for a few months after switching from Lo Loestrin Fe. My periods were very irregular- maybe once every 3 months. They were light and usually only lasted like 2 days. They helped keep my skin clear which was a plus. My sex drive came back after I switched from the Lo Loestrin. My anxiety was still pretty bad. I had increased appetite and gained another 10 pounds. I was always bloated. I think I'm going to find another birth control."""
Alprazolam,Anxiety,10,"Xanax (alprazolam)""I had anxiety so bad from work I felt like I was going to have a heart attack. I didn't take it until I got home from work because it made me sleep. I was on it for 6 weeks and I noticed I had an addiction to it. I was hurrying home after work to take it (no, really doctor, I can stop it any time I want to). My doctor said to stop taking it. I was awake for 3 days but I did it. I know now that I needed to reduce it a little at a time because I had been taking a high dose for a while. It's a life saver for bad anxiety, just watch the dosage and be careful about how long you are taking it. If you keep those 2 things in mind it's the best anti-anxiety medicine."""
Prozac,Depression,10,"""Prozac has saved my life. I was unable to function normally and was very irritable. I have been taking it for 5 months and it is amazing. Other than not feeling hungry and feeling numb to things that formerly made me irate. I have had no bad side effects. I am finally living. Only wish I had the nerve to take it 10 years ago. I missed out on so much due to my severe depression."""
Oxycodone and acetaminophen,Chronic Pain,6,"""My physician switch me from Norco 10_325 to Percocet 7.5)325. And it takes the pain away form my osteoarthritis. A lot better then the Norco. But that's my opinion and everyone reactions different. """
Viibryd,Major Depressive Disorder,10,"""I’ve been on multiple meds over 20 years for depression that would work well , then eventually stopped helping. This medication has resolved my depression and anxiety. I had loose stools at first but it eventually stopped. No other side effects. I’m sorry to hear all of the side effects people are having. Each person has very individual responses to all meds and you won’t know until you try them . In the past, with different meds, I found if I waited a month, most side effects resolved . It’s been a life saver for me !"""
Emgality,Migraine Prevention,1,"""I took the 2 injections initial dose and felt fine! Then I started noticing dizziness, but my headache seemed to ease off. But my period was irregular. Very uncommon for me I am always regular! I took the next month injection and my tongue started to feel funny kind of tingly all the time. Dizziness increased,  constipation started, tiredness and headache started back. My hair started falling out, I bruise very easily and stay cold all the time. The side effects are awful,  even though my neurologist said there are not really any side effects.  So totally not worth it! Don't try it! I read somewhere it takes 5 months for the medication to leave your body so hopefully some of these side effects will soon stop!!!"""
Venlafaxine,Generalized Anxiety Disorder,10,"""I have been on 150 mg Effexor for 5 months now - slowly increased from 37.5 to 75 to 117.5 to 150. It has truly been so helpful for my GAD and health anxiety. I have been diagnosed with OCD in the past (Pure O) and I don’t know if that was an accurate diagnosis but I will say that this has been immensely helpful for intrusive anxious thoughts and rumination. I do not have any lasting side effects, but it did make me a bit “spacey” and nauseous at first. Don’t let bad reviews scare you off if you have treatment-resistant OCD, anxiety, or depression. It’s worth a go!

I tried Luvox, Anafranil, and Prozac with limited success before starting this, just FYI."""
Invega,Schizophrenia,4,"""Invega did work to keep me from relapsing into psychosis. Also the injection makes it ideal for people who might tend to forget or stop taking medication. I have had some minor issues like diminished sex drive (also times whenI couldn't produce any semen), blurry vision and weight gain. However, soon after taking this medication I developed a depression. My depression has varied from severe mental agony for entire days to its current more anhedonic state. It is debilitating to say the least. After holding on for five months I will try to switch back to Seroquel which in the past has left me more stable while also getting rid of any symptoms related to psychosis. 

I am however not sure how much of the depression was caused by this medication."""
Lexapro,Generalized Anxiety Disorder,9,"""Have been on Lexapro Brand Name since Parkinsons diagnosis 15 years and it has been working solidly in the background.  Initially 10 mg and upped to 20 mg about 4 years ago.  Insurance no longer covering 50% and manufacturer assist program just canceled the program.

Have tried generics in the past with terribly disturbing side effects but might be forced to try again.  Can anyone recommend a solid Lex generic version from a US manufacturer or any relevant info.  Thanks and feel good."""
Hydroxyzine Pamoate,Anxiety,1,"""No different than benadryl they literally game me a drug to combat itching cause by allergies for anxiety and wonder why I have anxiety ..0 out of 10 is my rating doesn't do nothing but make me more irritable and worsen my conditions...smh ..."""
Tamiflu,Influenza,7,"""I commented below recently using the name MaryO12086. I'm on my last day of pills and wanted to give an update.  When I first started taking these pills I got the worst headaches and felt extremely tired and weak which would last for 3 hours but on my third day of taking the pills this no longer happened. I started feeling a lot better! I'm now on day 5 (last day) of the pills and I feel great. There is one other issue that I now have though. On day 3 of taking the pills I developed some type of irritation on the roof of my mouth. I'm stuck eating bananas, bread, and avocados because everything else touches the irritation and stings really badly. This is my last day of taking tamiflu so I'm hoping that after I'm done it will heal and I can go back to living life normally! The side effects of these pills suck but they did work for me which is why I now give them a 7/10. The flu is really scary this year so I'm glad I was able to finish my course."""
Ativan,Anxiety,10,"""I am claustrophobic and required an MRI.  The one tablet I took prescribed by my dr. Helped me get through this 1 hr 45 min process.  I am grateful."""
Hydrocortisone topical,Hemorrhoids,1,"""I am using this cream since last 20 days..but no effect"""
Omeprazole,Laryngopharyngeal RefluxOff-label,1,"""This medicine is worse than the acid reflux itself. I had no symptoms of GERD other than a bad cough (which I believe was asthma anyway). I was prescribed 40MG daily for one month. The first 2 weeks were fine. however, I began to develop severe anxiety and insomnia. Worst of all, I began to feel a knot in my throat which wouldn't allow me to eat --anything for DAYS and WEEKS! I lost nearly 15+ pounds during the time I took this medicine. I then got a panic attack on a plane (I fly A LOT and this has never ever happened). When I get to the urgent care later that day, my blood pressure was through the roof. This was my last straw. I stopped taking it after that. The anxiety that I developed while taking omeprazole has slowly been going away. I recommend everyone to google omeprazole and anxiety and you will read about THOUSANDS of people complaining about similar experiences. Please don't take this and if you can, try a holistic approach."""
Amitriptyline,Migraine PreventionOff-label,9,"Elavil (amitriptyline)""My migraines went from several a week to once a month. It is sedating and it also serves as a mild sleep aid."""
Suboxone,Opioid Use Disorder,9,"""I was on methadone for 10 yrs quitting cold turkey at 80mg in Dec 2015. I lasted about 4 days then started using heroin again. Jan 2 I went into detox, got out the 10th and was still in wds from the methadone. Went 3 weeks struggling really bad, started shooting again then finally gave suboxone a try 1 week ago. I feel amazing besides the constant sweats I get. Methadone withdrawal is the worst wd I ever experienced. I know I'm not looking to come off suboxone. I know for me that I will always need ""something"". If I can take a legally prescribed medication that will help me not to shoot heroin and make my life unmanageable then I will continue to take it. So far suboxone has done good by me, why would I stop it."""
Aimovig,Migraine Prevention,2,"""I started  Aimovig in May. It was really cutting down on my migraines, but the other side effects were terrible. When I first started it the only side effect listed was constipation.  I have been to the doctor and had several tests ran checking my thyroid, rheumatoid factor, hemoglobin, but everything seem to be OK. I had severe fatigue, joint pain in my hands and knees, brain fog, weight gain,  depression, you name it. I thought something was seriously wrong with me. I was due to take it nine days ago again, but I held off to do more research. I have been reading that other people have been having similar symptoms. I think I will go back to having migraines several times a month. It has got  to be better than what I am experiencing now. Today is the first day I actually had a little bit of energy and was able to look up some of the other peoples side effects. I would not recommend this drug."""
